categ_id,name,default_code,lst_price
MM,Maquillaje Compacto Polvo Mate Petaca con Espejo x 10g. @Dulce de Leche,1300-02,550
MM,Maquillaje Compacto Polvo Mate Petaca con Espejo x 10g. @Dorado Terracota,1300-03,550
MM,Maquillaje Compacto Polvo Mate Petaca con Espejo x 10g. @Tonalizador Dorado,1300-05,550
MM,Maquillaje Compacto Polvo Mate Repuesto de 59mm x 10g. @Dorado Terracota,1300R-03,395
MM,Maquillaje Compacto Polvo Mate Repuesto de 59mm x 10g. @Tonalizador Dorado,1300R-05,395
MM,Polvo Compacto Microfinish Ultra HD Petaca con Espejo x 10g. @Blanco,1301-01,608
MM,Polvo Compacto Microfinish Ultra HD Petaca con Espejo x 10g. @Naranja,1301-02,608
MM,Polvo Compacto Microfinish Ultra HD Repuesto de 59mm x 10g. @Blanco,1301R-01,463
MM,Polvo Compacto Microfinish Ultra HD Repuesto de 59mm x 10g. @Naranja,1301R-02,463
MM,Maquillaje Compacto Polvo Satinado Petaca con  Tapa Cristal x 10g. @Efecto Bronceante NUEVO!!,1310D,585
MM,Maquillaje Compacto Polvo Satinado Petaca con Espejo x 10g. @Maquillaje Compacto  Polvo Satinado Tostado Terracota,1310-01,550
MM,Maquillaje Compacto Polvo Satinado Repuesto de 59mm x 10g. @Dulce de Leche,1310R-00,395
MM,Polvo Volátil Mate Polvera x 15g. @Marfil Translucido,1320-01,536
MM,Polvo Volátil Mate Polvera x 15g. @Natural Rosado Traslucido,1320-03,536
MM,"Labial Humectante Envase x 3,5g. @Fucsia",1500-502,295
MM,"Labial Humectante Envase x 3,5g. @Rosa Nude",1500-503,295
MM,"Labial Humectante Envase x 3,5g. @Beige Rosado",1500-504,295
MM,"Labial Humectante Envase x 3,5g. @Rosa Anaranjado",1500-506,295
MM,"Labial Humectante Envase x 3,5g. @Magenta Violáceo",1500-508,295
MM,"Labial Humectante Envase x 3,5g. @Beige Dulce de Leche",1500-511,295
MM,"Labial Humectante Envase x 3,5g. @Rosa Pastel",1500-513,295
MM,"Labial Humectante Envase x 3,5g. @Guinda",1500-522,295
MM,"Labial Humectante Envase x 3,5g. @Rosa Tornasol Oro Perlado",1500-525,295
MM,"Labial Humectante Envase x 3,5g. @Rojo Puro",1500-534,295
MM,"Labial Humectante Envase x 3,5g. @Uva",1500-535,295
MM,"Labial Mate Envase x 3,5g. @Nude",1500M-01,315
MM,"Labial Mate Envase x 3,5g. @Rojo",1500M-02,315
MM,"Labial Mate Envase x 3,5g. @Marsala",1500M-03,315
MM,"Labial Mate Envase x 3,5g. @Durazno",1500M-04,315
MM,"Labial Mate Envase x 3,5g. @Orquidea",1500M-05,315
MM,"Labial Mate Envase x 3,5g. @Fucsia",1500M-06,315
MM,"Labial Mate Envase x 3,5g. @Naranja",1500M-07,315
MM,"Labial Mate Envase x 3,5g. @Beige Nude",1500M-08,315
MM,"Labial Mate Envase x 3,5g. @Nude Rosado",1500M-09,315
MM,"Labial Mate Envase x 3,5g. @Rosa Suave",1500M-10,315
MM,"Labial Mate Envase x 3,5g. @Rosa Dior",1500M-11,315
MM,"Labial Mate Envase x 3,5g. @Coral Vibrante",1500M-12,315
